operator_name,kernel_name,kernel_call_count,kernel_time_us,percent
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 32, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",456,4542.074,0.027%
null,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128> >, 5, 256, 1, false, true, cutlass::bfloat16_t, float, cutlass::arch::Sm90> >(flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128> >, 5, 256, 1, false, true, cutlass::bfloat16_t, float, cutlass::arch::Sm90>::Params)",768,3723.522,0.023%
null,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT,600,3683.814,0.022%
null,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT,600,3658.625,0.022%
null,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign16o61441_tensorptrbf16gmemalign128o614461441___True_2__0,289,3013.962,0.018%
null,nvjet_sm90_tst_64x16_64x16_4x1_v_bz_splitK_TNT,480,2992.512,0.018%
null,nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT,480,2978.59,0.018%
null,"void vllm::minimax_m3_fused_ops::fusedMiniMaxM3QNormRopeKVInsertKernel<c10::BFloat16, false, false>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, long const*, long const*, c10::BFloat16*, c10::BFloat16*, float, int, int, int, int, int, int, long, long, long, long)",768,1968.464,0.012%
null,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(__nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, long const*, long, long, long, long, long, int, int, int, float const*, float const*, int)",768,1751.53,0.011%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 16, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",228,1200.088,0.007%
null,_compute_slot_mapping_kernel,289,963.844,0.006%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 8, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",114,461.878,0.003%
null,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",285,297.406,0.002%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 4, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",57,192.928,0.001%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 2, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",57,166.563,0.001%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 1, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",57,161.154,<0.001%
